Time (s)	Frequency (Hz)	X (Vrms)	Y (Vrms)	X fit (Vrms)	Y fit (Vrms)
3.756320440349E+9	1.486760000000E+4	3.077100000000E-6	-2.212840000000E-6	2.708595652538E-6	-2.772832802399E-6
3.756320640378E+9	1.486762333333E+4	3.099460000000E-6	-1.892450000000E-6	2.783482674558E-6	-2.652895579133E-6
3.756320840408E+9	1.486764666667E+4	3.308070000000E-6	-2.257540000000E-6	2.861260006400E-6	-2.525183336161E-6
3.756321040436E+9	1.486767000000E+4	3.427280000000E-6	-2.004220000000E-6	2.942318816845E-6	-2.388715005372E-6
3.756321240465E+9	1.486769333333E+4	3.233570000000E-6	-1.586980000000E-6	3.027123673644E-6	-2.242337870138E-6
3.756321440492E+9	1.486771666667E+4	3.285720000000E-6	-1.765790000000E-6	3.116230943605E-6	-2.084687440961E-6
3.756321640521E+9	1.486774000000E+4	3.486890000000E-6	-1.840300000000E-6	3.210311723524E-6	-1.914137428960E-6
3.756321840548E+9	1.486776333333E+4	3.576290000000E-6	-1.609330000000E-6	3.310183640887E-6	-1.728734007793E-6
3.756322040576E+9	1.486778666667E+4	3.449630000000E-6	-1.646590000000E-6	3.416852421117E-6	-1.526109027228E-6
3.756322240604E+9	1.486781000000E+4	3.300620000000E-6	-1.221900000000E-6	3.531568731603E-6	-1.303364417476E-6
3.756322440633E+9	1.486783333333E+4	3.665700000000E-6	-1.110140000000E-6	3.655907406546E-6	-1.056915380364E-6
3.756322640661E+9	1.486785666667E+4	3.449630000000E-6	-1.013290000000E-6	3.791878230989E-6	-7.822758201916E-7
3.756322840691E+9	1.486788000000E+4	3.591190000000E-6	-7.152590000000E-7	3.942086654717E-6	-4.737570802675E-7
3.756323040719E+9	1.486790333333E+4	3.308070000000E-6	-6.035010000000E-7	4.109968331576E-6	-1.240376636485E-7
3.756323240747E+9	1.486792666667E+4	3.673150000000E-6	-5.513470000000E-7	4.300144889642E-6	2.764626730354E-7
3.756323440776E+9	1.486795000000E+4	3.650800000000E-6	-2.309690000000E-7	4.518977503950E-6	7.405213032986E-7
3.756323640805E+9	1.486797333333E+4	3.710400000000E-6	-7.450630000000E-8	4.775455450317E-6	1.285555070114E-6
3.756323840835E+9	1.486799666667E+4	3.717850000000E-6	4.321350000000E-7	5.082686431332E-6	1.935911729460E-6
3.756324040863E+9	1.486802000000E+4	3.792360000000E-6	6.780060000000E-7	5.460507194898E-6	2.726651505504E-6
3.756324240892E+9	1.486804333333E+4	3.926490000000E-6	1.646590000000E-6	5.940327344746E-6	3.710061967618E-6
3.756324440923E+9	1.486806666667E+4	4.433120000000E-6	2.659870000000E-6	6.574741442632E-6	4.967462501582E-6
3.756324640950E+9	1.486809000000E+4	4.880160000000E-6	4.142550000000E-6	7.458299913330E-6	6.631925729946E-6
3.756324840979E+9	1.486811333333E+4	5.357000000000E-6	6.392630000000E-6	8.777519609142E-6	8.935133453824E-6
3.756325041007E+9	1.486813666667E+4	7.413360000000E-6	1.098220000000E-5	1.094994707258E-5	1.231160562187E-5
3.756325241035E+9	1.486816000000E+4	1.659260000000E-5	2.449020000000E-5	1.509580868625E-5	1.764417513769E-5
3.756325441064E+9	1.486818333333E+4	3.635160000000E-5	3.606850000000E-5	2.516203033353E-5	2.676125310251E-5
3.756325641092E+9	1.486820666667E+4	5.786140000000E-5	3.513720000000E-5	6.065231013546E-5	4.068459666477E-5
3.756325841122E+9	1.486823000000E+4	7.839550000000E-5	2.178560000000E-5	7.760125779322E-5	2.025764837685E-5
3.756326041150E+9	1.486825333333E+4	7.182390000000E-6	-2.798450000000E-5	1.233459081668E-5	-2.424516031322E-5
3.756326241178E+9	1.486827666667E+4	5.036620000000E-6	-2.269460000000E-5	2.951168469364E-6	-2.551081119268E-5
3.756326441206E+9	1.486830000000E+4	4.321370000000E-6	-1.931950000000E-5	1.296247253283E-6	-2.158546200476E-5
3.756326641234E+9	1.486832333333E+4	3.546490000000E-6	-1.695760000000E-5	1.033062160977E-6	-1.840972744303E-5
3.756326841265E+9	1.486834666667E+4	3.360230000000E-6	-1.526640000000E-5	1.109433768890E-6	-1.610395783664E-5
3.756327041293E+9	1.486837000000E+4	3.211210000000E-6	-1.388050000000E-5	1.275276265048E-6	-1.440322051839E-5
3.756327241321E+9	1.486839333333E+4	3.099460000000E-6	-1.264370000000E-5	1.458340389142E-6	-1.310943314796E-5
3.756327441348E+9	1.486841666667E+4	2.972800000000E-6	-1.168260000000E-5	1.636073308337E-6	-1.209567290623E-5
3.756327641378E+9	1.486844000000E+4	3.159060000000E-6	-1.081830000000E-5	1.801868070209E-6	-1.128071413189E-5
3.756327841406E+9	1.486846333333E+4	2.875940000000E-6	-1.033400000000E-5	1.954606148812E-6	-1.061117984986E-5
3.756328041435E+9	1.486848666667E+4	2.838690000000E-6	-9.939130000000E-6	2.095052993135E-6	-1.005088739459E-5
3.756328241463E+9	1.486851000000E+4	2.831240000000E-6	-9.507000000000E-6	2.224536828983E-6	-9.574575608394E-6
3.756328441491E+9	1.486853333333E+4	2.972800000000E-6	-9.074870000000E-6	2.344453278931E-6	-9.164131223878E-6
3.756328641520E+9	1.486855666667E+4	3.039850000000E-6	-8.806640000000E-6	2.456090424460E-6	-8.806255395269E-6
3.756328841548E+9	1.486858000000E+4	2.697120000000E-6	-8.344710000000E-6	2.560576366170E-6	-8.490976474992E-6
3.756329041576E+9	1.486860333333E+4	3.047300000000E-6	-8.285100000000E-6	2.658877506630E-6	-8.210680322106E-6
3.756329241605E+9	1.486862666667E+4	2.846140000000E-6	-8.173350000000E-6	2.751813622239E-6	-7.959455734398E-6
3.756329441635E+9	1.486865000000E+4	3.039850000000E-6	-7.562370000000E-6	2.840077801976E-6	-7.732645784193E-6
3.756329641665E+9	1.486867333333E+4	2.622620000000E-6	-7.465510000000E-6	2.924256717873E-6	-7.526533502107E-6
3.756329841694E+9	1.486869666667E+4	2.659870000000E-6	-7.487860000000E-6	3.004847542719E-6	-7.338117993657E-6
3.756330041722E+9	1.486872000000E+4	2.853590000000E-6	-7.316500000000E-6	3.082273428306E-6	-7.164949418744E-6
3.756330241751E+9	1.486874333333E+4	2.734380000000E-6	-7.063180000000E-6	3.156895777963E-6	-7.005008883516E-6
3.756330441780E+9	1.486876666667E+4	3.002600000000E-6	-6.943970000000E-6	3.229024733226E-6	-6.856617938981E-6
3.756330641808E+9	1.486879000000E+4	2.980250000000E-6	-6.839660000000E-6	3.298927319832E-6	-6.718370032109E-6
3.756330841836E+9	1.486881333333E+4	2.801430000000E-6	-6.727900000000E-6	3.366834598160E-6	-6.589077694731E-6
3.756331041865E+9	1.486883666667E+4	3.099460000000E-6	-6.809860000000E-6	3.432947457048E-6	-6.467730855565E-6
3.756331241894E+9	1.486886000000E+4	2.861040000000E-6	-6.385180000000E-6	3.497441092696E-6	-6.353466340359E-6
3.756331441923E+9	1.486888333333E+4	2.838690000000E-6	-6.467130000000E-6	3.560468914589E-6	-6.245540890513E-6
